Nro,Retorno,SP500
648,0.019235873,21.52
649,0,21.52
650,-0.015925395,21.18
651,-0.005681833,21.06
652,-0.038233546,20.27
653,0.00639294,20.4
654,-0.0258207,19.88
655,0.013490087,20.15
656,0.000496155,20.16
657,0.026433257,20.7
658,-0.007759496,20.54
659,0.009689998,20.74
660,0.005289745,20.85
661,-0.010123008,20.64
662,0.007241161,20.79
663,-0.005305052,20.68
664,0.014402553,20.98
665,0.007597377,21.14
666,-0.000473149,21.13
667,0.011294238,21.37
668,0.000467836,21.38
669,-0.00987082,21.17
670,-0.00711072,21.02
671,0.01510888,21.34
672,0.013497994,21.63
673,0.005992182,21.76
674,0.004585061,21.86
675,-0.006424988,21.72
676,-0.01018056,21.5
677,-0.014523563,21.19
678,0.001414761,21.22
679,0.003293346,21.29
680,-0.010861972,21.06
681,-0.018208457,20.68
682,-0.024970698,20.17
683,0.013297413,20.44
684,-0.016276562,20.11
685,-0.019076884,19.73
686,-0.015322057,19.43
687,-0.028715103,18.88
688,-0.015479359,18.59
689,0.043679661,19.42
690,-0.012435393,19.18
691,0.012435393,19.42
692,-0.042604392,18.61
693,0.000537201,18.62
694,-0.011885607,18.4
695,-0.040482378,17.67
696,0.024595986,18.11
697,-0.011105056,17.91
698,0.016062378,18.2
699,-0.017738824,17.88
700,-0.041101676,17.16
701,0.023611808,17.57
702,-0.030042698,17.05
703,-0.008836582,16.9
704,0.014101291,17.14
705,0.034407064,17.74
706,0.002252253,17.78
707,0.004489345,17.86
708,-0.017509626,17.55
709,-0.012037979,17.34
710,-0.023338282,16.94
711,0.011153623,17.13
712,-0.030224523,16.62
713,0.001803427,16.65
714,-0.034212255,16.09
715,-0.034780616,15.54
716,0.015959483,15.79
717,0.021923835,16.14
718,0.025689486,16.56
719,0.019731582,16.89
720,-0.024574206,16.48
721,0.010863112,16.66
722,0.02079077,17.01
723,-0.004123717,16.94
724,0.015231695,17.2
725,-0.00875918,17.05
726,-0.011799547,16.85
727,-0.014345733,16.61
728,-0.013943845,16.38
729,0.025317808,16.8
730,0.009478744,16.96
731,-0.017246934,16.67
732,-0.015110593,16.42
733,0.000608828,16.43
734,-0.02839697,15.97
735,0.000625978,15.98
736,-0.015768223,15.73
737,-0.011509078,15.55
738,-0.007746972,15.43
739,-0.032271487,14.94
740,-0.034040046,14.44
741,0.045354643,15.11
742,0.007253576,15.22
743,0.011107595,15.39
744,-0.033699918,14.88
745,0.005361943,14.96
746,0.013280408,15.16
747,-0.020660515,14.85
748,-0.008792752,14.72
749,0.022835109,15.06
750,0.018421574,15.34
751,0.032705704,15.85
752,0.005034624,15.93
753,0.012476768,16.13
754,-0.066648619,15.09
755,0.072829109,16.23
756,-0.009907202,16.07
757,-0.014415793,15.84
758,-0.012067469,15.65
759,0.011435957,15.83
760,-0.023650831,15.46
761,0.012214874,15.65
762,-0.012214874,15.46
763,0.020487272,15.78
764,0,15.78
765,0.018210864,16.07
766,0.021545924,16.42
767,-0.001218769,16.4
768,-0.004889985,16.32
769,-0.018553408,16.02
770,0.009319732,16.17
771,0.001236094,16.19
772,-0.001854715,16.16
773,0.004938282,16.24
774,0.005526572,16.33
775,-0.006758858,16.22
776,0.003077873,16.27
777,0.041534709,16.96
778,0.01579442,17.23
779,0.002897713,17.28
780,-0.005803847,17.18
781,0.009270055,17.34
782,-0.016865768,17.05
783,0.00875918,17.2
784,0.013283476,17.43
785,0.015936592,17.71
786,0.025642431,18.17
787,-0.011068182,17.97
788,0.011068182,18.17
789,-0.007734845,18.03
790,-0.028693952,17.52
791,-0.001142205,17.5
792,-0.00918491,17.34
793,0.019983537,17.69
794,-0.021137605,17.32
795,0.025086834,17.76
796,-0.002254792,17.72
797,-0.01135086,17.52
798,-0.006872879,17.4
799,-0.004608303,17.32
800,0.025649739,17.77
801,-0.01074975,17.58
802,0.012998205,17.81
803,0.011167062,18.01
804,0.002772389,18.06
805,-0.01675081,17.76
806,0.006734032,17.88
807,-0.00560854,17.78
808,-0.013590243,17.54
809,-0.018993377,17.21
810,-0.032479973,16.66
811,0.001799101,16.69
812,-0.01023797,16.52
813,-0.004246291,16.45
814,0.003034904,16.5
815,-0.01342302,16.28
816,0.01342302,16.5
817,-0.005469476,16.41
818,0.00304229,16.46
819,0.015672412,16.72
820,-0.01263935,16.51
821,-0.020190346,16.18
822,-0.012437971,15.98
823,-0.015768223,15.73
824,0.014515875,15.96
825,-0.026668247,15.54
826,-0.020806993,15.22
827,0.004588668,15.29
828,0,15.29
829,-0.035278201,14.76
830,-0.006116227,14.67
831,-0.020661892,14.37
832,0.048889573,15.09
833,-0.029591937,14.65
834,0.027601887,15.06
835,-0.008000043,14.94
836,0.004674466,15.01
837,-0.004005346,14.95
838,0.032250245,15.44
839,-0.016324228,15.19
840,-0.009923998,15.04
841,-0.003330006,14.99
842,-0.022260616,14.66
843,-0.015120563,14.44
844,-0.042439183,13.84
845,-0.000722805,13.83
846,-0.005801322,13.75
847,0.010130333,13.89
848,0.003593249,13.94
849,-0.039507698,13.4
850,0.00074599,13.41
851,-0.011248713,13.26
852,0.003763648,13.31
853,-0.022028996,13.02
854,-0.048790164,12.4
855,-0.016260521,12.2
856,0.072701832,13.12
857,0.032248764,13.55
858,-0.01113184,13.4
859,0.011869576,13.56
860,-0.016357242,13.34
861,0.026628792,13.7
862,0.002187387,13.73
863,0.001455604,13.75
864,-0.008765578,13.63
865,0.002198608,13.66
866,-0.011041702,13.51
867,-0.017924304,13.27
868,-0.003775014,13.22
869,0.099975391,14.61
870,-0.013783816,14.41
871,0.046109863,15.09
872,-0.006648961,14.99
873,0.023732162,15.35
874,-0.017083201,15.09
875,-0.017380117,14.83
876,0.016053856,15.07
877,-0.008663833,14.94
878,0.021192846,15.26
879,-0.010540282,15.1
880,-0.039856677,14.51
881,-0.009695367,14.37
882,0.008316056,14.49
883,0.009615459,14.63
884,-0.027721803,14.23
885,-0.009887086,14.09
886,-0.020796734,13.8
887,0.024339068,14.14
888,0.009151771,14.27
889,0.013226785,14.46
890,0.011004238,14.62
891,-0.023530497,14.28
892,0,14.28
893,-0.021947784,13.97
894,0.004285721,14.03
895,0.010634627,14.18
896,-0.031521234,13.74
897,0.004357305,13.8
898,-0.005085372,13.73
899,0.014461568,13.93
900,-0.006481838,13.84
901,-0.014556298,13.64
902,-0.006620105,13.55
903,0.004418269,13.61
904,-0.004418269,13.55
905,0.031956241,13.99
906,-0.013674197,13.8
907,0.015816289,14.02
908,0.01907511,14.29
909,-0.016937596,14.05
910,0.003552402,14.1
911,0.002832863,14.14
912,0.002119393,14.17
913,-0.02212006,13.86
914,-0.00796817,13.75
915,-0.003642991,13.7
916,0.016648955,13.93
917,-0.005759555,13.85
918,0.010057556,13.99
919,-0.009335795,13.86
920,0.004319661,13.92
921,-0.018854801,13.66
922,-0.022955469,13.35
923,-0.004504512,13.29
924,-0.032112851,12.87
925,-0.008583744,12.76
926,-0.011032421,12.62
927,0.005531425,12.69
928,-0.047608829,12.1
929,-0.009132484,11.99
930,-0.014279957,11.82
931,0.018441428,12.04
932,-0.049371729,11.46
933,-0.047351409,10.93
934,-0.011965168,10.8
935,0.064538521,11.52
936,-0.075711822,10.68
937,0.022223137,10.92
938,-0.039220713,10.5
939,-0.042808092,10.06
940,-0.035410882,9.71
941,-0.018711565,9.53
942,0.017681168,9.7
943,-0.095104015,8.82
944,0.116522478,9.91
945,-0.013204864,9.78
946,0.082399532,10.62
947,-0.006613156,10.55
948,-0.043590436,10.1
949,-0.02303557,9.87
950,0.018072781,10.05
951,0.030379602,10.36
952,0.012470186,10.49
953,0.043829859,10.96
954,-0.009165967,10.86
955,-0.033711057,10.5
956,0.031867739,10.84
957,-0.018622512,10.64
958,-0.021853601,10.41
959,-0.033206176,10.07
960,0.003964326,10.11
961,0.031161236,10.43
962,0.006688988,10.5
963,0.030021016,10.82
964,-0.003703708,10.78
965,0.030153038,11.11
966,0.036239052,11.52
967,-0.021053409,11.28
968,-0.015185642,11.11
969,-0.003606857,11.07
970,-0.032127591,10.72
971,-0.027424887,10.43
972,0.016167732,10.6
973,-0.037486369,10.21
974,-0.00490919,10.16
975,-0.030986987,9.85
976,-0.01534557,9.7
977,0.017373968,9.87
978,-0.035055136,9.53
979,-0.023355626,9.31
980,0.020202707,9.5
981,-0.012712036,9.38
982,-0.035815005,9.05
983,0.01861028,9.22
984,-0.021930703,9.02
985,0.029494219,9.29
986,-0.029494219,9.02
987,-0.026967926,8.78
988,-0.023042494,8.58
989,-0.031974305,8.31
990,-0.036768848,8.01
991,0.013639393,8.12
992,-0.023677119,7.93
993,-0.026838672,7.72
994,0.079644063,8.36
995,-0.0254405,8.15
996,0.017032042,8.29
997,-0.04187804,7.95
998,0.001257071,7.96
999,-0.025446666,7.76
1000,0.025446666,7.96
1001,0.017435062,8.1
1002,0.002466092,8.12
1003,-0.071458964,7.56
1004,-0.001323627,7.55
1005,0.067844309,8.08
1006,0.017178337,8.22
1007,0.041697524,8.57
1008,-0.010557283,8.48
1009,-0.010669929,8.39
1010,0.047711201,8.8
1011,0.011299555,8.9
1012,0.00224467,8.92
1013,-0.047054004,8.51
1014,-0.003531493,8.48
1015,0.017534055,8.63
1016,-0.005810592,8.58
1017,-0.04408099,8.21
1018,-0.001218769,8.2
1019,0.013325455,8.31
1020,-0.019441682,8.15
1021,-0.014833399,8.03
1022,-0.011271253,7.94
1023,0.035872739,8.23
1024,-0.022113923,8.05
1025,0.00495664,8.09
1026,-0.006199648,8.04
1027,-0.032872745,7.78
1028,-0.020779968,7.62
1029,-0.011881328,7.53
1030,-0.003992021,7.5
1031,0.079427134,8.12
1032,0.045736009,8.5
1033,0.039220713,8.84
1034,-0.041576427,8.48
1035,0.026761341,8.71
1036,0.001147447,8.72
1037,-0.059049029,8.22
1038,0.025226563,8.43
1039,-0.009535233,8.35
1040,-0.001198322,8.34
1041,-0.006013247,8.29
1042,0.00721157,8.35
1043,0.042210252,8.71
1044,0,8.71
1045,0.001147447,8.72
1046,0.011402632,8.82
